Índex,Peces,2008,2009,2010,2011,2012,2013,2014
0,Almeja,95.2,296.0,303.8,186.8,162.4,423.4,
1,Pargo,759.1,921.3,848.2,754.3,565.4,505.9,
2,Cherna,34.4,44.4,23.9,30.9,25.9,13.4,
3,Túnidos,910.1,1051.3,771.3,970.5,894.2,681.6,
4,Biajaiba,1646.7,1268.0,1533.7,1279.6,1694.9,1204.8,
5,Machuelo,1665.7,1798.9,1524.2,1573.7,1636.2,1591.9,
6,Claria,4461.0,6031.0,5277.9,5181.1,6347.3,6758.3,
7,Rabirrubia,295.4,364.9,293.1,302.3,256.6,247.9,
8,Camarón de mar,530.2,595.5,738.4,491.2,547.8,619.4,
9,Raya,1926.1,2034.7,1598.9,1755.6,1620.3,1411.1,
10,Carpa,111.8,179.7,91.1,44.8,79.9,224.0,
11,Tenca,15829.8,17436.9,16228.8,14645.7,14443.5,16249.6,
12,Tilapia,3464.4,3156.0,2538.1,1675.8,1996.6,2108.4,
13,Cobo,400.9,533.9,505.5,492.4,659.5,557.8,
14,Ostión,861.5,1374.8,1648.4,1794.0,1583.0,1518.7,
15,Langosta,5725.3,4124.2,4457.6,5010.1,4467.0,4620.6,
16,Camaronicultura,3697.1,3455.6,3025.1,2178.0,3009.4,4115.9,
17,Morralla,1308.5,1921.6,1543.3,1006.7,841.6,945.1,